AŃO,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,7,Cataluńa,Europa,Albania,5560,26590,4.8
2019,7,Cataluńa,Europa,Alemania,2105280,13323810,6.3
2019,7,Cataluńa,Europa,Andorra,192480,1100840,5.7
2019,7,Cataluńa,Europa,Armenia,7770,48720,6.3
2019,7,Cataluńa,Europa,Austria,270590,1674150,6.2
2019,7,Cataluńa,Europa,Belarús,41920,247860,5.9
2019,7,Cataluńa,Europa,Bosnia y Herzegovina,1540,3790,2.5
2019,7,Cataluńa,Europa,Bulgaria,71940,417460,5.8
2019,7,Cataluńa,Europa,Bélgica,956900,6428780,6.7
2019,7,Cataluńa,Europa,Chipre,8340,42920,5.1
2019,7,Cataluńa,Europa,Croacia,20660,95410,4.6
2019,7,Cataluńa,Europa,Dinamarca,244150,1695590,6.9
2019,7,Cataluńa,Europa,Eslovenia,24500,124750,5.1
2019,7,Cataluńa,Europa,Estonia,37170,220520,5.9
2019,7,Cataluńa,Europa,Finlandia,75890,419690,5.5
2019,7,Cataluńa,Europa,Francia,5597190,30460570,5.4
2019,7,Cataluńa,Europa,Georgia,8660,42340,4.9
2019,7,Cataluńa,Europa,Grecia,43230,206650,4.8
2019,7,Cataluńa,Europa,Hungría,112820,565260,5.0
2019,7,Cataluńa,Europa,Irlanda,442340,3199560,7.2
2019,7,Cataluńa,Europa,Islandia,12750,84480,6.6
2019,7,Cataluńa,Europa,Italia,1051590,4885740,4.6
2019,7,Cataluńa,Europa,Letonia,37760,215540,5.7
2019,7,Cataluńa,Europa,Liechtenstein,7920,42640,5.4
2019,7,Cataluńa,Europa,Lituania,83630,368360,4.4
2019,7,Cataluńa,Europa,Luxemburgo,74860,455190,6.1
2019,7,Cataluńa,Europa,Macedonia del Norte,6190,25640,4.1
2019,7,Cataluńa,Europa,Malta,20080,81480,4.1
2019,7,Cataluńa,Europa,Moldavia,9570,50290,5.3
2019,7,Cataluńa,Europa,Montenegro,440,1610,3.7
2019,7,Cataluńa,Europa,Noruega,183100,1131830,6.2
2019,7,Cataluńa,Europa,Países Bajos,1512950,10311130,6.8
2019,7,Cataluńa,Europa,Polonia,443600,2301510,5.2
2019,7,Cataluńa,Europa,Portugal,229240,1355280,5.9
2019,7,Cataluńa,Europa,Reino Unido,2766170,15078410,6.05
2019,7,Cataluńa,Europa,República Checa,124990,709270,5.7
2019,7,Cataluńa,Europa,República Eslovaca,39790,231890,5.8
2019,7,Cataluńa,Europa,Rumanía,219940,1525800,6.9
2019,7,Cataluńa,Europa,Rusia,693800,4203070,6.1
2019,7,Cataluńa,Europa,Serbia,22120,99080,4.5
2019,7,Cataluńa,Europa,Suecia,427770,2594150,6.1
2019,7,Cataluńa,Europa,Suiza,465380,2542060,5.5
